id,parent_id
2138692,2138651
2138651,1045200
1045178,1045177
4781951,1045177
1045200,1045178
1045177,
1167884,1167881
1167889,1167876
1167878,1167876
1167890,1167881
1167893,1167876
1167896,1167887
2170536,2170535
2172226,2170536
2172253,2170907
2172254,2170537
2170534,2169160
5926678,1168891
2169160,1168891
2172224,2170907
2172222,2170907
2168987,2168978
2168986,2168978
1167876,
1167900,1167893
1167881,1167878
2172251,2170535
2170908,2170907
2172230,2170535
1168891,
2170537,2170535
2168982,2168980
2168983,2168980
1168896,
2168980,2168979
1167901,1167876
1167887,1167878
1167898,1167896
2172255,2170537
2172203,2170536
2172228,2169160
2172221,2170536
2172231,2170535
2172225,2170907
2170535,2170534
2172223,2169160
2172229,2170908
2172227,2169160
2172252,2170535
2170907,2169160
2172250,2169160
2168981,2168980
2168978,1168896
2168985,2168979
2168984,2168980
2168979,2168978
165531,165426
165426,124338
340629,165531
2160096,2160090
2160098,2160096
2160100,1283990
1013325,340629
124338,
2160097,2160090
4961064,1348267
1348267,
2244813,1348267
2248291,2248294
2248294,1348267
2248292,1348267
2160090,2159405
2160580,2160090
1283990,
2159405,1283990
2248293,2248291
2248290,2248293
3054391,1168623
2171699,2171698
2169876,2168909
2168907,2168726
4521024,1470534
5758811,4521024
2176287,2176285
2176286,1490994
2176285,2176286
5053354,1490994
2176288,2176285
5024285,1168623
176148,1452302
1452303,176148
2168909,2168726
1992627,1992626
1992628,1992627
1470534,
2176290,1490994
1490994,
2176289,2176287
2176292,1490994
4863344,3054391
1452302,
1168623,176148
2168906,2168726
2168908,2168726
2168726,1452679
2171698,2169876
1452679,
1992626,1470534
2168504,1555694
2168535,2168531
2168511,1532595
2168500,1532595
2168529,2168521
5086132,1555685
2168503,1532595
2168512,1532595
2168514,1532595
2168516,1532595
2168531,1532595
2168509,1532595
2168647,1534792
2168931,2168930
2039362,1992628
2176291,1490994
154814,154802
2084042,2072104
2072105,2072104
2084043,2084042
2761084,2084043
2072104,155530
2750394,1558332
2514878,2514874
2750388,2514882
2512960,1558332
3206877,2512961
2514874,2514875
2514881,2514874
